"profitability","name","rights_cost","cost_of_lifespan","earnings_of_lifespan","install_earnings"
"$3,626,963.88","Minecraft: Pocket Edition","69900.00","12108.0000000000000000","60108.0000000000000000","3648863.8800"
"$1,413,046.84","Fruit Ninja Classic","25000","12108.0000000000000000","60108.0000000000000000","1390046.8400"
"$1,097,412.26","Draw Something","29900.00","12108.0000000000000000","60108.0000000000000000","1079312.2600"
"$813,250.24","SCRABBLE Premium","79900.00","12084.0000000000000000","60084.0000000000000000","845150.2400"
"$793,140.99","Call of Duty: Black Ops Zombies","69900.00","12108.0000000000000000","60108.0000000000000000","815040.9900"
"$663,473.91","TuneIn Radio Pro - MLB Audiobooks Podcasts Music","99900.00","12108.0000000000000000","60108.0000000000000000","715373.9100"
"$559,276.07","Clear Vision (17+)","25000","12108.0000000000000000","60108.0000000000000000","536276.0700"
"$553,215.60","Geometry Dash","25000","12120.0000000000000000","60120.0000000000000000","530215.6000"
"$487,299.64","Terraria","49900.00","12108.0000000000000000","60108.0000000000000000","489199.6400"
"$445,198.37","Plants vs. Zombies","25000","12120.0000000000000000","60120.0000000000000000","422198.3700"
"$414,308.39","Doodle Jump","25000","12108.0000000000000000","60108.0000000000000000","391308.3900"
